 69: 1287.910767, 2189.585938 avg loss, 0.000000 rate, 4.777000 seconds, 4416 images
 70: 1262.313721, 2096.858643 avg loss, 0.000000 rate, 4.785000 seconds, 4480 images
 71: 1762.973755, 2063.470215 avg loss, 0.000000 rate, 6.412000 seconds, 4544 images
 72: 1763.399048, 2033.463135 avg loss, 0.000000 rate, 6.429000 seconds, 4608 images
 73: 1760.483154, 2006.165161 avg loss, 0.000000 rate, 6.422000 seconds, 4672 images
 74: 1729.633911, 1978.512085 avg loss, 0.000000 rate, 6.421000 seconds, 4736 images
 75: 1715.914673, 1952.252319 avg loss, 0.000000 rate, 6.432000 seconds, 4800 images
 76: 1688.797363, 1925.906860 avg loss, 0.000000 rate, 6.412000 seconds, 4864 images
 77: 1676.526001, 1900.968750 avg loss, 0.000000 rate, 6.436000 seconds, 4928 images
 78: 1638.838867, 1874.755737 avg loss, 0.000000 rate, 6.443000 seconds, 4992 images
 79: 1641.894531, 1851.469604 avg loss, 0.000000 rate, 6.459000 seconds, 5056 images
 80: 1621.644897, 1828.487183 avg loss, 0.000000 rate, 6.453000 seconds, 5120 images
 81: 1442.617432, 1789.900146 avg loss, 0.000000 rate, 5.983000 seconds, 5184 images
 82: 1413.655151, 1752.275635 avg loss, 0.000000 rate, 5.990000 seconds, 5248 images
 83: 1387.406250, 1715.788696 avg loss, 0.000000 rate, 5.992000 seconds, 5312 images
 84: 1365.074219, 1680.717285 avg loss, 0.000000 rate, 5.992000 seconds, 5376 images
 85: 1377.554565, 1650.401001 avg loss, 0.000000 rate, 6.004000 seconds, 5440 images
 86: 1306.614868, 1616.022339 avg loss, 0.000000 rate, 5.998000 seconds, 5504 images
 87: 1297.076660, 1584.127808 avg loss, 0.000000 rate, 5.987000 seconds, 5568 images
 88: 1280.726807, 1553.787720 avg loss, 0.000000 rate, 5.998000 seconds, 5632 images
 89: 1247.650879, 1523.174072 avg loss, 0.000000 rate, 6.000000 seconds, 5696 images
 90: 1229.222900, 1493.778931 avg loss, 0.000000 rate, 6.001000 seconds, 5760 images
 91: 1333.130737, 1477.714111 avg loss, 0.000000 rate, 6.446000 seconds, 5824 images
 92: 1314.524780, 1461.395142 avg loss, 0.000000 rate, 6.439000 seconds, 5888 images
 93: 1279.515625, 1443.207153 avg loss, 0.000000 rate, 6.448000 seconds, 5952 images
 94: 1247.877197, 1423.674194 avg loss, 0.000000 rate, 6.462000 seconds, 6016 images
 95: 1219.470459, 1403.253784 avg loss, 0.000000 rate, 6.445000 seconds, 6080 images
 96: 1176.210449, 1380.549438 avg loss, 0.000000 rate, 6.452000 seconds, 6144 images
 97: 1142.141602, 1356.708618 avg loss, 0.000000 rate, 6.460000 seconds, 6208 images
 98: 1114.983032, 1332.536011 avg loss, 0.000000 rate, 6.447000 seconds, 6272 images
 99: 1073.002930, 1306.582764 avg loss, 0.000000 rate, 6.457000 seconds, 6336 images
